protein_name	COG	COG_ID	COG_System	COG_Process	locusId
ATP synthase beta subunit/transription termination factor rho	COG2114	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS26300
Transcriptional regulator CRP family	COG0664	K	Information storage and processing	Transcription	H16_RS25700
Predicted HD phosphohydrolase (EC 3.-.-.-)	COG4341	S	Poorly characterized	Function unknown	H16_RS25210
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS20530
Putative threonine efflux protein	COG1280	E	Metabolism	Amino acid transport and metabolism	H16_RS13230
6-Hydroxy-D-nicotine oxidase (EC 1.5.3.6)	COG0277	C	Metabolism	Energy production and conversion	H16_RS26745
p-Nitrobenzoate reductase	COG0778	C	Metabolism	Energy production and conversion	H16_RS20580
ABC-type transporter, permease component: PepT family	COG1173	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07310
Outer membrane receptor, TonB dependent	COG1629	P	Metabolism	Inorganic ion transport and metabolism	H16_RS26150
Putative acetyl-coa acetyltransferase	COG0183	I	Metabolism	Lipid transport and metabolism	PHG232
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_B2390
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS26740
Uncharacterized protein	COG3022	S	Poorly characterized	Function unknown	PHG285
Type IV pilus assembly protein PilW	COG4966	NU	Cellular processes and signaling	Cell motility	H16_RS02050
ABC-type transporter, periplasmic component	COG2984	P	Metabolism	Inorganic ion transport and metabolism	H16_RS30920
Uncharacterized protein conserved in bacteria	COG3117	P	Metabolism	Inorganic ion transport and metabolism	H16_RS01915
Hypothetical membrane spanning protein	COG1238	S	Poorly characterized	Function unknown	H16_RS02165
Putative endonuclease	COG1864	F	Metabolism	Nucleotide transport and metabolism	PHG327
Transcriptional regulator, GlpP-family	COG1954	K	Information storage and processing	Transcription	H16_RS24735
Hypothetical membrane spanning protein	COG3308	S	Poorly characterized	Function unknown	H16_RS06495
Chitooligosaccharide deacetylase	COG0726	G	Metabolism	Carbohydrate transport and metabolism	H16_RS31080
Transcriptional regulator, AsnC-family	COG1522	K	Information storage and processing	Transcription	H16_RS25240
NADPH:quinone reductase or related Zn-dependent oxidoreductase (EC 1.6.5.5)	COG0604	X	Metabolism	Oxidative phosphorylation	H16_RS03055
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS02405
Response regulator with putative antiterminator output	COG3707	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS01770
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS34405
Malic enzyme (NADP) (EC 1.1.1.40)	COG0280	C	Metabolism	Energy production and conversion	H16_RS04980
Putative MFS transporter	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS30975
Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)	COG3143	NT	Cellular processes and signaling	Cell motility	H16_RS19955
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS26175
Short chain dehydrogenase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS25395
Small-conductance mechano-sensitive channel	COG0668	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS24920
Uncharacterized protein	COG1842	KT	Information storage and processing	Transcription	H16_RS09115
Putative NADH dehydrogenase (EC 1.6.99.3)	COG1252	X	Metabolism	Oxidative phosphorylation	H16_RS09065
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS26965
Predicted aminoglycoside phosphotransferase (EC 2.7.1.95)	COG3173	S	Poorly characterized	Function unknown	H16_RS25390
Translation initiation inhibitor	COG0251	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS20905
ABC-type transporter, permease component: HAAT family	COG0559	P	Metabolism	Inorganic ion transport and metabolism	H16_RS19105
Malate-dehydrogenase (EC 1.1.1.37)	COG2055	C	Metabolism	Energy production and conversion	H16_RS20415
MFS transporter, MHS family	COG0477	P	Metabolism	Inorganic ion transport and metabolism	H16_RS29045
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS19580
ABC-type transporter, permease component: PAAT family	COG0765	E	Metabolism	Amino acid transport and metabolism	H16_RS27770
Putative integrase/recombinase	COG4974	L	Information storage and processing	Replication, recombination and repair	PHG137
Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	COG2222	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS01550
Uncharacterized protein	COG1360	N	Cellular processes and signaling	Cell motility	H16_RS21315
Transcriptional regulator, IclR-family	COG1414	K	Information storage and processing	Transcription	H16_RS06120
Signal transduction histidine kinase regulating C4-dicarboxylate transport system (EC 2.7.3.-)	COG4191	P	Metabolism	Inorganic ion transport and metabolism	H16_RS03425
NAD dependent sugar epimerase (EC 4.2.1.-)	COG0451	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS14430
Tramsmembrane protein	COG0697	P	Metabolism	Inorganic ion transport and metabolism	H16_RS10135
Transcriptional regulator, AsnC-family	COG1522	K	Information storage and processing	Transcription	H16_RS03400
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS30790
Transcriptional regulator, IclR-family	COG1414	K	Information storage and processing	Transcription	H16_RS26435
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (EC 3.5.1.-)	COG0624	E	Metabolism	Amino acid transport and metabolism	H16_RS08645
Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS08555
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG317
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG317
Uncharacterized protein	COG1262	S	Poorly characterized	Function unknown	H16_RS20230
Uncharacterized protein	COG1262	S	Poorly characterized	Function unknown	H16_RS20235
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_A3228
Cation/multidrug efflux system outer membrane porin	COG1538	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS08820
Salicylate hydroxylase (EC 1.14.13.1)	COG0654	CH	Metabolism	Energy production and conversion	H16_RS22480
Multisubunit Na+/H+ antiporter, MnhA and MhnB subunits	COG1009	CP	Metabolism	Energy production and conversion	H16_RS09375
Multisubunit Na+/H+ antiporter, MnhA and MhnB subunits	COG1009	CP	Metabolism	Energy production and conversion	H16_RS34200
Cation/multidrug efflux pump	COG0841	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS14330
ABC-type transporter, permease component: PAAT family	COG0765	P	Metabolism	Inorganic ion transport and metabolism	H16_RS13735
Putative lipoprotein	COG4314	X	Metabolism	Oxidative phosphorylation	PHG247
Molybdenum cofactor biosynthesis protein	COG0303	H	Metabolism	Coenzyme transport and metabolism	H16_RS26050
Type IV pilus assembly protein PilE	COG4968	NU	Cellular processes and signaling	Cell motility	H16_RS14150
Transcriptional regulator, GntR-family	COG1802	K	Information storage and processing	Transcription	H16_RS00145
Transcriptional regulator, AraC-family	COG2207	K	Information storage and processing	Transcription	H16_RS11060
Urea amidohydrolase (Urease) accessory protein UreJ	COG2370	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS05380
NTP pyrophosphohydrolase (Oxidative damage repair enzyme)	COG0494	L	Information storage and processing	Replication, recombination and repair	H16_RS04460
Reverse transcriptase like protein	COG3344	L	Information storage and processing	Replication, recombination and repair	H16_RS04375
Signal transduction histidine kinase containing a receiver domain (Hybrid) and a PAS sensor domain (EC 2.7.3.-)	COG0642	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS04105
ABC-type transporter, periplasmic component: SulT family	COG4662	P	Metabolism	Inorganic ion transport and metabolism	H16_RS15385
Copper chaperone, heavy metal ion binding	COG2608	P	Metabolism	Inorganic ion transport and metabolism	H16_RS18320
Putative regulatory protein	COG0583	K	Information storage and processing	Transcription	PHG401
Cation/multidrug efflux system, mebrane-fusion component	COG0845	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS14325
Primosomal replication protein N	COG2965	L	Information storage and processing	Replication, recombination and repair	H16_RS11385
Putative muramoyl-tetrapeptide carboxypeptidase,homologs of microcin C7 resistance protein MccF (EC 3.4.17.13)	COG1619	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS09585
Short chain dehydrogenase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS00140
4-Hydroxybenzoate transporter, MFS-type AAHS family	COG2271	G	Metabolism	Carbohydrate transport and metabolism	H16_RS30155
4-Hydroxybenzoate transporter, MFS-type AAHS family	COG2271	G	Metabolism	Carbohydrate transport and metabolism	H16_RS30160
O-antigen translocase	COG2244	S	Poorly characterized	Function unknown	H16_B0030
Glutamate synthase [NADPH], Glutamate synthase amidotransferase domain (EC 1.4.1.13)	COG0067	E	Metabolism	Amino acid transport and metabolism	H16_RS17115
Putative Mg2+ and Co2+ transporter	COG1253	P	Metabolism	Inorganic ion transport and metabolism	H16_RS03805
Glutathione peroxidase	COG0386	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS00295
Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	COG1960	I	Metabolism	Lipid transport and metabolism	H16_RS18795
C-5 sterol desaturase	COG3000	I	Metabolism	Lipid transport and metabolism	H16_RS11690
Putative peptidase, M20A subfamily (EC 3.4.-.-)	COG0624	E	Metabolism	Amino acid transport and metabolism	H16_RS24240
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS20370
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS20660
Uncharacterized protein	COG1672	S	Poorly characterized	Function unknown	H16_A3231
Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS10695
CBS domain protein	COG1253	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24835
Flagellar protein	COG1334	N	Cellular processes and signaling	Cell motility	H16_RS30490
Transcriptional regulator, TetR/AcrR-family	COG1309	K	Information storage and processing	Transcription	H16_RS04240
Permease	COG0628	P	Metabolism	Inorganic ion transport and metabolism	H16_RS26385
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS24500
TRAP-type transporter, small permease component	COG4665	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22695
Transcriptional regulator, GntR-family	COG1802	K	Information storage and processing	Transcription	H16_RS20310
Alkyl sulfatase	COG2015	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS18330
Uncharacterized protein	COG1555	L	Information storage and processing	Replication, recombination and repair	H16_RS03990
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS31380
Uncharacterized protein	COG2050	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS23755
Peptidoglycan hydrolase	COG1705	N	Cellular processes and signaling	Cell motility	H16_RS20080
Flagellar L-ring protein (Basal body L-ring protein)	COG2063	N	Cellular processes and signaling	Cell motility	H16_RS20070
Acyl-CoA dehydrogenase, long-chain specific (EC 1.3.99.-)	COG1960	C	Metabolism	Energy production and conversion	H16_RS10720
SAM-dependent methyltransferase	COG0500	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS09345
Hypothetical membrane associated protein	COG3694	P	Metabolism	Inorganic ion transport and metabolism	H16_B1074
Chemotaxis protein	COG0835	NT	Cellular processes and signaling	Cell motility	H16_RS28950
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS19135
Transcriptional regulator, ArsR-family	COG0640	K	Information storage and processing	Transcription	H16_RS23025
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22840
Protoporphyrinogen oxidase (EC 1.3.3.4)	COG1232	H	Metabolism	Coenzyme transport and metabolism	H16_RS14405
Short chain dehydrogenase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS12355
NADPH:quinone reductase or related Zn-dependent oxidoreductase (EC 1.6.5.5)	COG0604	X	Metabolism	Oxidative phosphorylation	H16_RS03125
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG282
Biopolymer transport protein	COG0848	P	Metabolism	Inorganic ion transport and metabolism	H16_RS14105
Transcriptional regulator, IclR-family	COG1414	K	Information storage and processing	Transcription	H16_RS12915
Uncharacterized conserved protein	COG1917	S	Poorly characterized	Function unknown	H16_RS08725
Type II secretory pathway, pseudopilin PulG	NA	S	Poorly characterized	Function unknown	H16_A2842
Transcriptional regulator	COG0664	K	Information storage and processing	Transcription	PHG262
Ornithine cyclodeaminase (EC 4.3.1.12)	COG2423	E	Metabolism	Amino acid transport and metabolism	H16_RS18340
Putative integrase/recombinase	COG4974	L	Information storage and processing	Replication, recombination and repair	PHG048
Formate dehydrogenase gamma subunit (EC 1.2.1.2)	COG2864	A	Metabolism	Autotrophic energy generation	H16_RS25975
Zinc metalloprotease with chaperone function	COG0501	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS14875
Glucans biosynthesis protein G	COG3131	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24900
Uncharacterized protein	COG4104	T	Cellular processes and signaling	Signal transduction mechanisms	H16_A3226
Altronate dehydratase (EC 4.2.1.7)	COG2721	G	Metabolism	Carbohydrate transport and metabolism	H16_RS13750
Altronate dehydratase (EC 4.2.1.7)	COG2721	G	Metabolism	Carbohydrate transport and metabolism	H16_RS13755
ABC-type transporter, permease component: HAAT family	COG0559	P	Metabolism	Inorganic ion transport and metabolism	H16_RS06165
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS14660
GTP pyrophosphokinase (EC 2.7.6.5)	COG0317	KT	Information storage and processing	Transcription	H16_RS06640
Putative BfpG-like protein	NA	S	Poorly characterized	Function unknown	PHG352
Outer membrane protein	COG1538	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS27640
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG377
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS29315
Putative helicase	COG3598	L	Information storage and processing	Replication, recombination and repair	H16_RS30595
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS03355
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS05525
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS02925
ADP-heptose:LPS heptosyltransferase II (EC 2.4.99.-)	COG0859	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS04495
H-NS-like protein	COG2916	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	PHG180
H-NS-like protein	COG2916	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	PHG180
H-NS-like protein	COG2916	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	PHG180
H-NS-like protein	COG2916	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	PHG180
Cation/multidrug efflux pump	COG3696	P	Metabolism	Inorganic ion transport and metabolism	H16_RS30705
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS22145
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS22100
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS27605
Malonyl-CoA decarboxylase Malonyl-CoA decarboxylase (EC 4.1.1.9)	COG1593	G	Metabolism	Carbohydrate transport and metabolism	H16_RS14860
FOG: FHA domain protein	COG1716	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS13380
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS31545
Response regulator, OmpR-family	COG0745	K	Information storage and processing	Transcription	H16_RS26950
Response regulator, OmpR-family	COG0745	K	Information storage and processing	Transcription	H16_RS26955
4-Amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family (EC 2.4.1.-)	COG1807	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS26900
Cell division protein FtsQ	COG1589	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS16300
Transcriptional regulator, Exoribonuclease II-family	COG0557	K	Information storage and processing	Transcription	H16_RS15785
Metal-dependent hydrolase of the beta-lactamase superfamily	COG0491	S	Poorly characterized	Function unknown	H16_RS19060
Aspartate/tyrosine/aromatic aminotransferase (EC 2.6.1.-)	COG0436	E	Metabolism	Amino acid transport and metabolism	H16_RS11330
Hypothetical membrane spanning protein	COG1215	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS09265
Nucleoside-diphosphate-sugar epimerase (EC 5.1.3.-)	COG0451	GM	Metabolism	Carbohydrate transport and metabolism	H16_RS33910
Hypothetical membrane spanning protein	COG0392	P	Metabolism	Inorganic ion transport and metabolism	H16_RS14410
Uncharacterized protein	COG4575	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS10975
Flavodoxin reductase (Ferredoxin-NADPH reductase) family 1 (EC 1.18.1.2)	COG1018	C	Metabolism	Energy production and conversion	H16_RS22425
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS10965
Uncharacterized protein involved in exopolysaccharide biosynthesis	COG0489	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS09255
Uncharacterized protein	COG3515	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS30745
Amidohydrolase family protein (EC 3.5.-.-)	COG2159	S	Poorly characterized	Energy production and conversion	H16_RS22780
Transcriptional regulator	COG1733	K	Information storage and processing	Transcription	H16_RS22635
Enoyl-CoA hydratase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS20850
Ferredoxin subunits of nitrite reductase or ring-hydroxylating dioxygenase	COG2146	P	Metabolism	Inorganic ion transport and metabolism	H16_RS12830
Cobalt-zinc-cadmium resistance membrane-fusion protein	COG0845	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS28015
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS27795
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS34605
Predicted NADH:ubiquinone oxidoreductase,subunit RnfB (EC 1.6.5.-)	COG2878	P	Metabolism	Inorganic ion transport and metabolism	H16_RS05700
Uncharacterized protein	COG4339	S	Poorly characterized	Function unknown	H16_RS03800
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS15955
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	PHG326
Bacterioferritin (Cytochrome b1)	COG2193	X	Metabolism	Oxidative phosphorylation	H16_RS11235
Chemotaxis response regulator	COG0745	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS19950
Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	COG1487	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS28775
ABC-type transporter, permease component: PepT family	COG1173	P	Metabolism	Inorganic ion transport and metabolism	H16_RS16430
6-Carboxyhexanoate-CoA ligase (EC 6.2.1.14)	COG1042	C	Metabolism	Energy production and conversion	H16_RS23385
Nucleoside-diphosphate-sugar epimerase (EC 5.1.3.-)	COG0451	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS14445
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS20565
Outer membrane protein and related peptidoglycan-associated proteins	COG2885	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS12550
Enoyl-CoA hydratase/isomerase (EC 4.2.1.17)	COG1024	I	Metabolism	Lipid transport and metabolism	H16_RS27435
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS34315
Lipopolysaccharide N-acetylglucosaminyl transferase	COG0438	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS29690
Transcriptional regulator, GntR-family	COG2188	K	Information storage and processing	Transcription	H16_RS18995
FAD dependent glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	COG0578	C	Metabolism	Energy production and conversion	H16_RS24745
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS05725
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS27005
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS26610
Periplasmic divalent cation tolerance protein CutA	COG1324	P	Metabolism	Inorganic ion transport and metabolism	H16_RS17240
Extracellular nuclease (EC 3.1.-.-)	COG2374	S	Poorly characterized	Function unknown	H16_RS24360
Glycosyltransferase involved in cell wall biogenesis (EC 2.4.1.-)	COG0463	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS26915
Type IV pilus assembly protein, tip-associated adhesin PilY1	COG3419	NU	Cellular processes and signaling	Cell motility	H16_RS14175
Putative MFS transporter	COG0477	EGP	Metabolism	Amino acid transport and metabolism	H16_RS13965
Uncharacterized protein, 4-oxalocrotonate tautomerase homolog (EC 5.3.2.-)	COG1942	S	Poorly characterized	Energy production and conversion	H16_RS15880
Uncharacterized protein conserved in bacteria	COG5343	S	Poorly characterized	Function unknown	H16_RS14575
Oxidoreductase short-chain dehydrogenase/reductase family	COG4221	S	Poorly characterized	Function unknown	H16_RS28615
Acetyltransferase (EC 2.3.1.-)	COG0454	K	Information storage and processing	Transcription	H16_RS15425
ABC-type transporter, ATPase component: HAAT family (EC 3.6.3.22)	COG0410	P	Metabolism	Inorganic ion transport and metabolism	H16_RS18235
Flavohemoprotein (Hemoglobin-like)	COG1017	C	Metabolism	Energy production and conversion	H16_RS17625
Molecular chaperone	COG0443	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS08080
Cobalt-zinc-cadmium resistance efflux pump	COG3696	P	Metabolism	Inorganic ion transport and metabolism	H16_RS28010
Replication initiation protein RepA	NA	S	Poorly characterized	Function unknown	H16_RS18730
MFS transporter	COG0477	P	Metabolism	Inorganic ion transport and metabolism	H16_RS24620
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS16105
Sulfate permease family (SulP) transporter	COG0659	U	Cellular processes and signaling	Intracellular trafficking, secretion, and vesicular transport	H16_RS06780
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS19575
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	COG1560	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS23325
Phosphodiesterase/alkaline phosphatase D (EC 3.1.3.1)	COG3540	P	Metabolism	Inorganic ion transport and metabolism	H16_RS22945
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_B2036
Uncharacterized enzyme of heme biosynthesis	COG3071	H	Metabolism	Coenzyme transport and metabolism	H16_RS14545
Uncharacterized protein	COG2331	S	Poorly characterized	Function unknown	H16_RS02220
Signal transduction histidine kinase containing a receiver domain (Hybrid) (EC 2.7.3.-)	COG0784	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS15560
Phospholipase C (EC 3.1.4.3)	COG3511	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS13570
Glycine cleavage system T protein (EC 1.5.99.2)	COG0404	E	Metabolism	Amino acid transport and metabolism	H16_RS28510
Putative oxidoreductase (EC 1.-.-.-)	COG1028	IQ	Metabolism	Lipid transport and metabolism	H16_RS27560
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_B0045
Putative transcriptional regulator	COG1959	K	Information storage and processing	Transcription	H16_RS08825
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS04910
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS04370
Predicted ring-cleavage extradiol dioxygenase (EC 1.14.-.-)	COG0346	E	Metabolism	Amino acid transport and metabolism	H16_RS22420
Conserved hypothetical membrane protein	COG1289	S	Poorly characterized	Function unknown	H16_A3328
Two domain protein: Inactivated superfamily I helicase and RecB family exonuclease	COG2887	L	Information storage and processing	Replication, recombination and repair	H16_RS11955
Metallopeptidase, M23B subfamily (EC 3.4.24.-)	COG1388	DM	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS11865
Long-chain-fatty-acid-CoA ligase (EC 6.2.1.3)	COG0318	IQ	Metabolism	Lipid transport and metabolism	H16_RS27405
Response regulator, NarL-family	COG2197	K	Information storage and processing	Transcription	H16_RS18935
MFS transporter, PAT family	COG2223	P	Metabolism	Inorganic ion transport and metabolism	H16_RS01060
Phosphoserine phosphatase (EC 3.1.3.3)	COG0560	E	Metabolism	Amino acid transport and metabolism	H16_A3080
Rhodanese-related sulfurtransferase (EC 2.8.1.-)	COG0607	P	Metabolism	Inorganic ion transport and metabolism	H16_A0149
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS08340
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS08345
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS08665
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS08670
Hypothetical membrane associated protein	NA	S	Poorly characterized	Function unknown	H16_RS00675
ABC-type transporter, ATPase component: HAAT family (EC 3.6.3.22)	COG0411	P	Metabolism	Inorganic ion transport and metabolism	H16_RS21235
Putative integrase/recombinase	COG4974	L	Information storage and processing	Replication, recombination and repair	PHG044
Allophanate hydrolase (EC 3.5.1.54)	COG1984	E	Metabolism	Amino acid transport and metabolism	H16_RS27515
Response regulator, NarL-family	COG2197	K	Information storage and processing	Transcription	H16_RS18755
Outer membrane protein (Porin)	COG3203	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS03090
Soluble lytic murein transglycosylase (EC 3.2.1.147)	COG0741	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS01220
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS20740
Gluconate permease	COG2610	EG	Metabolism	Amino acid transport and metabolism	H16_RS15010
Membrane protein related to metalloendopeptidases	COG0739	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS26160
Probable extra-cytoplasmic solute receptor	COG3181	P	Metabolism	Inorganic ion transport and metabolism	H16_RS21160
Flagellar biosynthesis protein	NA	N	Cellular processes and signaling	Cell motility	H16_RS20020
Lactoylglutathione lyase or related lyase	COG0346	E	Metabolism	Amino acid transport and metabolism	H16_RS00500
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS30620
Acyl-CoA dehydrogenase (EC 1.3.99.3)	COG1960	C	Metabolism	Energy production and conversion	H16_RS20720
Protein-tyrosine-phosphatase (EC 3.1.3.48)	COG0394	T	Cellular processes and signaling	Signal transduction mechanisms	H16_RS10895
Uncharacterized protein	NA	S	Poorly characterized	Function unknown	H16_RS30600
Isocitrate lyase (EC 4.1.3.1)	COG2224	C	Metabolism	Energy production and conversion	H16_RS11130
Pseudouridine synthase (EC 5.4.99.-)	COG1187	J	Information storage and processing	Translation, ribosomal structure and biogenesis	H16_RS14540
Potassium channel protein	COG5285	Q	Metabolism	Secondary metabolites biosynthesis, transport, and catabolism	H16_RS19560
Transcriptional regulator, LysR-family	COG0583	K	Information storage and processing	Transcription	H16_RS21810
ABC-type transporter, ATPase component: HAAT family (EC 3.6.3.22)	COG0410	P	Metabolism	Inorganic ion transport and metabolism	H16_RS07040
